From from From
: : :
korenek korenek korenek
@ @ @
nmti nmti nmti
. . .
com com com
( ( (
gary gari gary
korenek korenek korenek
) ) )
Subject subject Subject
: : :
Re re Re
: : :
HINT hint HINT
486 486 486
VLB vlb VLB
/ / /
ISA isa ISA
/ / /
EISA eisa EISA
motherboard motherboard motherboard
Keywords keyword Keywords
: : :
486 486 486
, , ,
motherboard motherboard motherboard
Organization organ Organization
: : :
Network network Network
Management manag Management
Technology technolog Technology
Inc inc Inc
. . .
Distribution distribut Distribution
: : :
usa usa usa
Lines line Lines
: : :
26 26 26
In in In
article articl article
< < <
C c C
5 5 5
ovwv ovwv ovwv
. . .
LMo lmo LMo
@ @ @
news news news
. . .
iastate iastat iastate
. . .
edu edu edu
> > >
schauf schauf schauf
@ @ @
iastate iastat iastate
. . .
edu edu edu
( ( (
Brian brian Brian
J j J
Schaufenbuel schaufenbuel Schaufenbuel
) ) )
writes write write
: : :
> > >
I i I
am am be
looking look look
at at at
buying buy buy
some some some
Companion companion Companion
brand brand brand
VLB vlb VLB
/ / /
ISA isa ISA
/ / /
EISA eisa EISA
motherboards motherboard motherboards
with with with
> > >
HINT hint HINT
chipsets chipset chipsets
. . .
Has has Has
anybody anybodi anybody
had had have
any ani any
experience experi experience
with with with
this this this
board board board
( ( (
good good good
or or or
bad bad bad
) ) )
? ? ?
> > >
Any ani Any
information inform information
would would would
be be be
helpful help helpful
! ! !
> > >
thanks thank thanks
> > >
Brian brian Brian
J j J
Schaufenbuel schaufenbuel Schaufenbuel
I i I
believe believ believe
that that that
any ani any
VL vl VL
/ / /
EISA eisa EISA
/ / /
ISA isa ISA
motherboard motherboard motherboard
that that that
uses use use
the the the
HINT hint HINT
chipset chipset chipset
is is be
limited limit limit
to to to
24 24 24
- - -
bit bit bit
EISA eisa EISA
DMA dma DMA
( ( (
where where where
' ' '
real real real
' ' '
EISA eisa EISA
DMA dma DMA
is is be
32 32 32
- - -
bit bit bit
) ) )
. . .
The the The
HINT hint HINT
EISA eisa EISA
DMA dma DMA
has has have
the the the
16 16 16
mb mb mb
ram ram ram
addressing address address
limitation limit limitation
of of of
ISA isa ISA
. . .
For for For
this this this
reason reason reason
I i I
would would would
pass pass pass
. . .
I i I
own own own
one one one
of of of
these these these
( ( (
HAWK hawk HAWK
VL vl VL
/ / /
EISA eisa EISA
/ / /
ISA isa ISA
) ) )
and and and
am am be
look look look
- - -
ing ing ing
to to to
replace replac replace
it it it
for for for
exactly exact exactly
this this this
reason reason reason
. . .
Please pleas Please
double doubl double
- - -
check check check
me me me
on on on
this this this
. . .
In in In
other other other
words word word
, , ,
call call call
the the the
motherboard motherboard motherboard
manufacturer manufactur manufacturer
and and and
ask ask ask
them them them
if if if
the the the
motherboard motherboard motherboard
supports support support
true true true
32 32 32
- - -
bit bit bit
EISA eisa EISA
DMA dma DMA
. . .
Other other Other
than than than
this this this
limitation limit limitation
, , ,
the the the
motherboard motherboard motherboard
works work work
quite quit quite
well well well
( ( (
I i I
am am be
using use use
mine mine mine
with with with
DOS dos DOS
5 5 5
, , ,
Windows window Windows
3 3 3
. . .
1 1 1
, , ,
and and and
UNIX unix UNIX
S s S
5 5 5
R r R
3 3 3
. . .
2 2 2
) ) )
. . .
Also also Also
with with with
Adaptec adaptec Adaptec
1742 1742 1742
a a a
EISA eisa EISA
SCSI scsi SCSI
host host host
adapter adapt adapter
. . .
- - -
- - -
Gary gari Gary
Korenek korenek Korenek
( ( (
korenek korenek korenek
@ @ @
nmti nmti nmti
. . .
com com com
) ) )
Network network Network
Management manag Management
Technology technolog Technology
Incorporated incorpor Incorporated
Sugar sugar Sugar
Land land Land
, , ,
Texas texa Texas
( ( (
713 713 713
) ) )
274 274 274
- - -
5357 5357 5357
